Per Capita Crime,Durham,North Yorkshire,South Yorkshire,GreaterManchester,Cheshire,Lancashire,Derbyshire,Leicestershire,Lincolnshire,Warwickshire,West Midlands,Essex,Hertfordshire,Suffolk,Metropolitan and City,Thames Valley,Hampshire,Kent,Gloucestershire,Dorset,,,,,
Feb-14,0.805493465,0,0.68795742,1.81974411,1.239231959,2.624582937,0.513469026,0.537253132,0.451335841,0.584872279,2.819756114,0.273941331,0,0,2.970727176,1.073690752,0.659006811,0.634456805,0.528429508,1.27123492,,,,,
Mar-14,0.536995644,0.402031869,1.71989355,2.331547141,0.354066274,2.187152448,0.220058154,0.805879698,0.902671683,0.584872279,2.48138538,1.187079101,2.328011317,0,2.781837008,0.33552836,0.576630959,1.631460356,0.528429508,1.27123492,,,,,
Apr-14,0,1.206095607,1.03193613,1.6491431,0.177033137,0.984218602,0.586821744,0.358168755,0.451335841,0.292436139,3.101731725,0.547882662,1.643302106,0.90483817,3.073758176,0.67105672,0.659006811,0.815730178,0,1.27123492,,,,,
May-14,0.939742376,0.603047804,0.68795742,2.274680137,0,1.749721958,0.880232616,0.358168755,0,0.292436139,2.086619524,1.004451547,1.095534737,0.678628627,3.073758176,1.342113439,0.659006811,1.178276924,0.792644261,0,,,,,
Jun-14,0.402746733,0.603047804,0.68795742,1.99034512,1.062198822,1.531006713,0.586821744,0.537253132,0.677003762,1.169744557,2.763360991,0.730510216,1.369418422,0.452419085,2.987899009,0.805268064,0.494255108,1.359550297,0.528429508,0.847489947,,,,,
Jul-14,0.671244555,0.603047804,2.06387226,1.478542089,1.062198822,2.624582937,0.660174462,0.537253132,1.128339603,0,3.270917092,0.821823993,0.684709211,1.131047712,3.588913177,0.738162392,1.729892878,1.087640238,0.264214754,2.54246984,,,,,
Aug-14,0.268497822,1.407111542,0.22931914,1.876611113,0.708132548,2.29651007,0.220058154,0.895421887,1.128339603,0.292436139,2.030224402,1.004451547,0.136941842,0.90483817,2.661634175,1.677641799,0.247127554,0.362546746,0.528429508,1.27123492,,,,,
Sep-14,0.402746733,0.201015935,0.68795742,2.445281148,0.531099411,2.515225315,1.613759796,1.34313283,1.805343365,0.292436139,4.004053681,0.91313777,0.958592895,1.357257255,2.764665175,0.603951048,0.576630959,0.997003551,0.264214754,2.118724867,,,,,
Oct-14,0.536995644,0.201015935,1.83455312,1.706010103,0.885165685,1.202933846,0.73352718,0.71633751,0.451335841,0.877308418,3.101731725,0.821823993,0.958592895,0.226209542,2.33536934,0.805268064,0.411879257,1.54082367,0,0.847489947,,,,,
Nov-14,0.134248911,0.603047804,2.17853183,2.843350172,0.708132548,2.405867693,0.660174462,0.984964076,0.451335841,0.877308418,2.086619524,0.273941331,0.684709211,0.452419085,2.627290508,1.140796424,0.741382662,1.178276924,2.906362291,2.118724867,,,,,
